default,default response
"""This mess isn't going anywhere. Worst-case scenario, we'll pick it up late with the ship.""","""Can't we fix it?"""
"""Can't we fix it?""","""Doubtful. Even if we had more freezing draught for the cooling system, some of the parts melted together. It's gonna need a lot of work."""
"""Doubtful. Even if we had more freezing draught for the cooling system, some of the parts melted together. It's gonna need a lot of work.""","""Maybe the locals will be able to help."""
"""Maybe the locals will be able to help.""","""From what I saw of their city, I doubt it."" Ginny groaned behind them, silencing them in surprise as they turned to see her as she massaged her temples."
"""I'd say this way is a safe bet."" Sirius spared her a worried look before pointing above the opposing dune, where the golden tip of a giant structure could be seen gleaming in the distance.","""Let's just hope we haven't spooked them too much."""
"""That's impossible..."" Angelina breathed out.","""Don't these people look a bit too ... Humans to you?"" Zacharias asked as he peered down the valley, using his hands to shield his eyes from the suns."
"""Welcome, messengers of the gods! We have eagerly awaited your return.""","""Our ... return?"""
"""Good people of Dakhla! We have come a long way—""","""So this Ra used to come here? You've seen him yourself?"""
"""So this Ra used to come here? You've seen him yourself?""","""Of course. Though these blessed times ended many moons ago. And when the head priest left with his guards, we grew worried that we had somehow offended the gods. But as you can see, we never wavered in our devotion."""
"""This is gonna grow old quick."" Ginny said as yet another group came out of a back street and threw themselves to the ground.","""It already has."" Harry grumbled, trying his hardest to ignore the dozens of people lining the streets."
"""That's new."" Marietta said as she walked up to her console.","""Is something wrong?"" Hermione put down her data-slate on the blueprint she had been examining."
"""Is something wrong?"" Hermione put down her data-slate on the blueprint she had been examining.","""I don't know ... The ship detected an energy signature I've never seen before."""
"""I don't know ... The ship detected an energy signature I've never seen before.""","""From the planet?"""
"""From the planet?""","""No ... right next to us."""
default,default response
"""Ah yes, the clothes you and your friends gave to the order. Quite a marvelous work I must say, even though I was incapable of working out how they were made. I will admit that I am quite intrigued as to how you managed to enchant them."" Dumbledore inquired. ","""I'd rather not say, sir. You and the order have your secrets and we have ours. It's best that that kind of information does go around."" Harry said, squirming a bit in his seat and hoping the headmaster would not press on. He understood the necessity of keeping some things as secret as possible, but that didn’t mean he liked it."
"""Sounds a bit paranoid. I know we have to stay secret but not everyone is out to get us.""","""Maybe not but... You remember the defence professor, two years ago?"""
"""Maybe not but... You remember the defence professor, two years ago?""","""Creepy Moody? I still have nightmares of his eye."" Her hand stilled for a moment, as a cold shiver went down her spine, before moving again to continue her work."
"""Creepy Moody? I still have nightmares of his eye."" Her hand stilled for a moment, as a cold shiver went down her spine, before moving again to continue her work.","""Turned out he wasn't the real Mad eye Moody after all. A Death Eater kidnapped him and took his place before he even came to Hogwarts. We didn't find out until after he managed to set up my kidnapping during the third task. The real Moody spent the year in a trunk."""
"""Hey...""","""Hey."" She answered softly, her gaze still fixed on the sight outside the window."
"""Hey."" She answered softly, her gaze still fixed on the sight outside the window.","""Can I...Can I sit here?"""
"""But now? Now it's just gone and I feel...empty. I want to be angry. Or sad, or anything, really. But it's like I burned out and there's a...a hole here.""","""As if they took a part of us when they took them."""
"""Captain, I don't think-""","""I said we're done."""
"""I said we're done.""","""Yes but-"""
"""Yes but-""","""We're done, Lieutenant. Good night."""
"""Program us to match his speed then cut power to the engines and bring out the shields to full. This is a fast one and we don't want to lose it.""","""Aye, aye."""
"""Engines are off, we're matching the target and shields are up. We're ready.""","""Alright. Katie?"""
"""Finally! Let's see what our baby can do.""","""Let's not be careless, these systems haven't been used in thousands of years. We should try at a lower charge first then go up little by little."" Hermione interjected as she put aside her slate."
"""Let's not be careless, these systems haven't been used in thousands of years. We should try at a lower charge first then go up little by little."" Hermione interjected as she put aside her slate.","Lee let out a groan. ""Come on, everything else works just fine as soon as we turn it on. And even if there was a problem, the ship would repair itself before we could even see it."""
"""Nothing lost by being a bit cautious the first time. Power to thirty per cent.""","""Urgh. Fine."" Katie groaned."
"""It looks like the power conduits of the starboard cannon blew up somehow. The ship detected that the weapon wasn't getting the power it required and kept sending more in to try and shoot. It only made things worse and the damage spread out throughout the entire conduit.""","""I thought this wasn't supposed to happen. That there were too many security measures making sure everything was working."""
"""Of course not. We'll have to investigate but there's clearly something wrong with the sensors in that part of the ship or we would have detected it before it came to that. We may want to check every one on the ship to see if any other is malfunctioning.""","""So it just didn't show up? That bloody conv-"""
